Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Longitude,Location,citydst
200 Croll Ct,Chattanooga,TN,37410,07/13/2018 10:55:00 PM,TN0330100,A11,Adam S,23H,All Other Larceny,Part 1 Crimes,18-066281,3,Pending/Possible Leads,35.011303,-85.310698,POINT (-85.310698 35.011303),7
100 E 3rd St,Chattanooga,TN,37403,07/13/2018 10:10:00 PM,TN0330100,A7,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,18-066267,3,Pending/Possible Leads,35.05466199999999,-85.308335,POINT (-85.308335 35.054662),7
1200 Poplar St,Chattanooga,TN,37402,07/13/2018 09:00:00 PM,TN0330100,A6,Adam S,240,Motor Vehicle Theft,Part 1 Crimes,18-066263,2,Cleared by Arrest,35.042356999999996,-85.31536799999999,POINT (-85.315368 35.042357),7
300 Peach Bloom Dr,Chattanooga,TN,37411,07/13/2018 08:30:00 PM,TN0330100,C2,Charlie S,23F,Theft From Motor Vehicle,Part 1 Crimes,18-066407,3,Pending/Possible Leads,35.022907,-85.23616799999999,POINT (-85.236168 35.022907),5
3100 S Orchard Knob Ave,Chattanooga,TN,37407,07/13/2018 08:00:00 PM,TN0330100,B7,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,18-067155,3,Pending/Possible Leads,35.007529999999996,-85.28975799999999,POINT (-85.289758 35.00753),7
5900 Highway 153,Chattanooga,TN,37343,07/13/2018 07:29:00 PM,TN0330100,A1,Adam N,23C,Shoplifting,Part 1 Crimes,18-066229,3,Pending/Possible Leads,35.16502,-85.249698,POINT (-85.249698 35.16502),3
1900 S Willow St,Chattanooga,TN,37404,07/13/2018 06:51:00 PM,TN0330100,B6,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,18-066207,3,Pending/Possible Leads,35.019359,-85.278781,POINT (-85.278781 35.019359),9
2400 Tunnel Blvd,Chattanooga,TN,37406,07/13/2018 06:26:00 PM,TN0330100,C1,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,18-066181,3,Pending/Possible Leads,35.05875,-85.230526,POINT (-85.230526 35.05875),5
2200 Hamilton Place Blvd,Chattanooga,TN,37421,07/13/2018 06:00:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,18-072898,2,Cleared by Arrest,35.039871000000005,-85.153273,POINT (-85.153273 35.039871),4
3900 Azalean Dr,Chattanooga,TN,37415,07/13/2018 05:41:00 PM,TN0330100,A3,Adam N,23D,Theft From Buildings,Part 1 Crimes,18-066148,2,Cleared by Arrest,35.113721,-85.257401,POINT (-85.257401 35.113721),2
200 W 4th St,Chattanooga,TN,37402,07/13/2018 05:30:00 PM,TN0330100,A7,Adam S,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,18-066387,3,Pending/Possible Leads,35.052230900000005,-85.311931,POINT (-85.311931 35.0522309),7
4000 Clio Ave,Chattanooga,TN,37407,07/13/2018 04:37:00 PM,TN0330100,B9,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,18-066157,3,Pending/Possible Leads,34.997311,-85.290143,POINT (-85.290143 34.997311),7
