Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Neighborhood,Longitude,Location,citydst
300 Cherokee Blvd,Chattanooga,TN,37405,10/29/2017 2:08,TN0330100,A4,Adam N,120,Robbery,Part 1 Crimes,17-105608,3,Pending/Possible Leads,35.064916,Northside/Cherokee,-85.311408,POINT (-85.311408 35.064916),1
7000 Amin Dr,Chattanooga,TN,37421,10/29/2017 4:17,TN0330100,C6,Charlie N,23D,Theft From Buildings,Part 1 Crimes,17-105634,3,Pending/Possible Leads,35.042797,,-85.160883,POINT (-85.160883 35.042797),6
700 Mansion Cir,Chattanooga,TN,37405,10/29/2017 6:00,TN0330100,A4,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,17-105753,2,Cleared by Arrest,35.081978,,-85.299278,POINT (-85.299278 35.081978),2
7000 Shallowford Rd,Chattanooga,TN,37421,10/29/2017 9:11,TN0330100,C9,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-105659,3,Pending/Possible Leads,35.044948,,-85.158356,POINT (-85.158356 35.044948),6
7900 Chianti Way,Chattanooga,TN,37421,10/29/2017 12:00,TN0330100,C9,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-107683,3,Pending/Possible Leads,35.050943,,-85.117583,POINT (-85.117583 35.050943),4
500 Market St,Chattanooga,TN,37402,10/29/2017 13:55,TN0330100,A7,Adam S,23C,Shoplifting,Part 1 Crimes,17-105700,3,Pending/Possible Leads,35.051327,,-85.30882,POINT (-85.30882 35.051327),7
5400 Highway 153,Chattanooga,TN,37343,10/29/2017 14:00,TN0330100,A3,Adam N,23C,Shoplifting,Part 1 Crimes,17-105702,3,Pending/Possible Leads,35.140616,,-85.248927,POINT (-85.248927 35.140616),2
4100 Hixson Pike,Chattanooga,TN,37415,10/29/2017 14:40,TN0330100,A3,Adam N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-105712,3,Pending/Possible Leads,35.116209,,-85.255469,POINT (-85.255469 35.116209),2
1400 Jenkins Rd,Chattanooga,TN,37421,10/29/2017 14:43,TN0330100,C8,Charlie N,23D,Theft From Buildings,Part 1 Crimes,17-105710,3,Pending/Possible Leads,35.007959,,-85.151174,POINT (-85.151174 35.007959),4
8700 E Brainerd Rd,Chattanooga,TN,37421,10/29/2017 16:04,TN0330100,C8,Charlie N,13C,Intimidation,Part 1 Crimes,17-105731,3,Pending/Possible Leads,34.999793,,-85.131986,POINT (-85.131986 34.999793),4
4200 Westridge Rd,Chattanooga,TN,37409,10/29/2017 16:36,TN0330100,A12,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-105736,3,Pending/Possible Leads,35.00545,St. Elmo,-85.326968,POINT (-85.326968 35.00545),7
1900 Northpoint Blvd,Chattanooga,TN,37343,10/29/2017 17:00,TN0330100,A1,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-105915,3,Pending/Possible Leads,35.136771,,-85.240765,POINT (-85.240765 35.136771),3
1700 W 56th St,Chattanooga,TN,37409,10/29/2017 17:23,TN0330100,A12,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-105754,3,Pending/Possible Leads,34.986121,St. Elmo,-85.334232,POINT (-85.334232 34.986121),7
300 Bradford Place Dr,Chattanooga,TN,37343,10/29/2017 17:51,TN0330100,A1,Adam N,23D,Theft From Buildings,Part 1 Crimes,17-105773,3,Pending/Possible Leads,35.160577,,-85.254255,POINT (-85.254255 35.160577),3
500 Market St,Chattanooga,TN,37402,10/29/2017 18:55,TN0330100,A7,Adam S,23C,Shoplifting,Part 1 Crimes,17-105765,3,Pending/Possible Leads,35.049822,,-85.310119,POINT (-85.310119 35.049822),7
4300 Guild Trl,Chattanooga,TN,37409,10/29/2017 19:30,TN0330100,A12,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-105794,3,Pending/Possible Leads,35.003617,St. Elmo,-85.332778,POINT (-85.332778 35.003617),7
4200 Tennessee Ave,Chattanooga,TN,37409,10/29/2017 20:18,TN0330100,A12,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-105776,3,Pending/Possible Leads,35.004276,St. Elmo,-85.328682,POINT (-85.328682 35.004276),7
100 Glenwood Dr,Chattanooga,TN,37404,10/29/2017 20:35,TN0330100,B4,Baker N,23C,Shoplifting,Part 1 Crimes,17-105780,3,Pending/Possible Leads,35.03223,Glenwood,-85.263946,POINT (-85.263946 35.03223),9
2500 Broad St,Chattanooga,TN,37408,10/29/2017 21:39,TN0330100,A10,Adam S,120,Robbery,Part 1 Crimes,17-105788,3,Pending/Possible Leads,35.026995,,-85.316705,POINT (-85.316705 35.026995),7
3500 Cummings Hwy,Chattanooga,TN,37419,10/29/2017 21:40,TN0330100,A13,Adam S,23C,Shoplifting,Part 1 Crimes,17-105786,3,Pending/Possible Leads,35.015823,,-85.377212,POINT (-85.377212 35.015823),1
4000 Shallowford Rd,Chattanooga,TN,37411,10/29/2017 21:57,TN0330100,C3,Charlie S,120,Robbery,Part 1 Crimes,17-105791,3,Pending/Possible Leads,35.042202,,-85.218311,POINT (-85.218311 35.042202),5
900 Sylvan Dr,Chattanooga,TN,37411,10/29/2017 22:00,TN0330100,C2,Charlie S,23D,Theft From Buildings,Part 1 Crimes,17-111001,3,Pending/Possible Leads,35.036607,,-85.231745,POINT (-85.231745 35.036607),9
8500 Hilltop Dr,Chattanooga,TN,37363,10/30/2017 0:01,TN0330100,C9,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-105882,3,Pending/Possible Leads,35.082788,,-85.084046,POINT (-85.084046 35.082788),6
1000 Dallas Rd,Chattanooga,TN,37405,10/30/2017 1:00,TN0330100,A4,Adam N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-105880,3,Pending/Possible Leads,35.075832,Northside/Cherokee,-85.303702,POINT (-85.303702 35.075832),2
5500 Highway 153,Chattanooga,TN,37343,10/30/2017 4:30,TN0330100,A1,Adam N,23C,Shoplifting,Part 1 Crimes,17-109063,3,Pending/Possible Leads,35.142006,,-85.249128,POINT (-85.249128 35.142006),3
900 E 3rd St,Chattanooga,TN,37403,10/30/2017 6:00,TN0330100,A8,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,17-105867,2,Cleared by Arrest,35.047799,Fort Wood,-85.291138,POINT (-85.291138 35.047799),8
4500 Hixson Pike,Chattanooga,TN,37343,10/30/2017 6:18,TN0330100,A3,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-105914,3,Pending/Possible Leads,35.120775,,-85.250257,POINT (-85.250257 35.120775),2
900 E 3rd St,Chattanooga,TN,37403,10/30/2017 6:30,TN0330100,A8,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-105850,2,Cleared by Arrest,35.048672,,-85.289605,POINT (-85.289605 35.048672),8
7700 Lee Hwy,Chattanooga,TN,37421,10/30/2017 8:00,TN0330100,C9,Charlie N,23D,Theft From Buildings,Part 1 Crimes,17-105864,3,Pending/Possible Leads,35.061412,,-85.134167,POINT (-85.134167 35.061412),6
700 Tunnel Blvd,Chattanooga,TN,37411,10/30/2017 8:00,TN0330100,C1,Charlie S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,17-111453,3,Pending/Possible Leads,35.039197,Eastdale,-85.24076,POINT (-85.24076 35.039197),9
2300 E 23rd St,Chattanooga,TN,37407,10/30/2017 9:40,TN0330100,B6,Baker S,250,Forgery/Counterfeiting,Part 1 Crimes,17-105892,3,Pending/Possible Leads,35.017153,Oak Grove,-85.277384,POINT (-85.277384 35.017153),9
2600 E 21st St,Chattanooga,TN,37404,10/30/2017 9:44,TN0330100,B6,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-105890,3,Pending/Possible Leads,35.016795,Ridgedale,-85.270795,POINT (-85.270795 35.016795),9
500 W 21st St,Chattanooga,TN,37408,10/30/2017 10:31,TN0330100,A10,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-105902,3,Pending/Possible Leads,35.034188,,-85.315643,POINT (-85.315643 35.034188),7
500 W 21st St,Chattanooga,TN,37408,10/30/2017 10:31,TN0330100,A10,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-105902,3,Pending/Possible Leads,35.034197,,-85.316378,POINT (-85.316378 35.034197),7
600 Pan Gap Rd,Chattanooga,TN,37419,10/30/2017 10:45,TN0330100,A13,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-105906,3,Pending/Possible Leads,35.047755,,-85.366773,POINT (-85.366773 35.047755),1
5900 Highway 153,Chattanooga,TN,37343,10/30/2017 11:10,TN0330100,A1,Adam N,23C,Shoplifting,Part 1 Crimes,17-110824,3,Pending/Possible Leads,35.166222,,-85.249453,POINT (-85.249453 35.166222),3
900 Dodds Ave,Chattanooga,TN,37404,10/30/2017 11:15,TN0330100,B5,Baker S,120,Robbery,Part 1 Crimes,17-105918,3,Pending/Possible Leads,35.026917,Ridgedale,-85.267594,POINT (-85.267594 35.026917),9
3700 Navajo Dr,Chattanooga,TN,37411,10/30/2017 11:30,TN0330100,C2,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-105939,3,Pending/Possible Leads,35.016182,,-85.247608,POINT (-85.247608 35.016182),6
