Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Neighborhood,Longitude,Location,citydst
900 LINDSAY ST,Chattanooga,TN,37402-,1/8/2016 15:00,TN0330100,A9,Adam S,HAR,Harassment All Others,Other Incidents,16-002627,3,Pending/Possible Leads,35.04592117,,-85.30708741,POINT (-85.307087407259 35.045921169463),8
2100 Gunbarrel RD,Chattanooga,TN,37421,1/8/2016 15:11,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,16-003559,3,Pending/Possible Leads,35.03617702,,-85.15206048,POINT (-85.152060479653 35.03617702294),4
2200 HAMILTON PLACE BLVD.,Chattanooga,TN,37421-,1/8/2016 15:56,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,16-002615,3,Pending/Possible Leads,35.0408876,,-85.15559755,POINT (-85.155597547684 35.040887600816),4
1000 N NATCHEZ RD.,Chattanooga,TN,37405-,1/8/2016 16:00,TN0330100,A4,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,16-002628,3,Pending/Possible Leads,35.07944848,,-85.29868408,POINT (-85.29868407597 35.079448481044),2
2100 Hamilton Place Blvd.,Chattanooga,TN,37421-,1/8/2016 16:00,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,16-002629,2,Cleared by Arrest,35.03539002,,-85.16283257,POINT (-85.162832565948 35.035390018708),4
2000 Gunbarrel Rd.,Chattanooga,TN,37421-,1/8/2016 16:34,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,16-002638,2,Cleared by Arrest,35.03004443,,-85.15531905,POINT (-85.155319049335 35.030044425364),4
500 SIGNAL MOUNTAIN RD.,Chattanooga,TN,37405-,1/8/2016 16:50,TN0330100,A5,Adam N,23C,Shoplifting,Part 1 Crimes,16-002684,2,Cleared by Arrest,35.09271876,,-85.32970444,POINT (-85.32970443936 35.092718758774),1
500 SIGNAL MOUNTAIN RD.,Chattanooga,TN,37405-,1/8/2016 17:04,TN0330100,A5,Adam N,23C,Shoplifting,Part 1 Crimes,16-002664,2,Cleared by Arrest,35.09368776,,-85.33041944,POINT (-85.33041943936 35.093687758774),1
7800 E BRAINERD RD.,CHATTANOOGA,TN,37421-,1/8/2016 18:00,TN0330100,C8,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,16-003644,3,Pending/Possible Leads,35.00783628,,-85.15272807,POINT (-85.15272807322502 35.007836284216),4
2100 Hamilton Place BLVD,Chattanooga,TN,37421,1/8/2016 18:00,TN0330100,C8,Charlie N,23C,Shoplifting,Part 1 Crimes,16-002672,2,Cleared by Arrest,35.030928,,-85.15877,POINT (-85.15877 35.030928),4
600 TUNNEL BLVD.,Chattanooga,TN,37411-,1/8/2016 18:00,TN0330100,C2,Charlie S,23C,Shoplifting,Part 1 Crimes,16-003682,3,Pending/Possible Leads,35.03667387,,-85.2413769,POINT (-85.241376903466 35.036673873328),9
7800 E BRAINERD RD,Chattanooga,TN,37421-,1/8/2016 18:00,TN0330100,C8,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,16-003623,3,Pending/Possible Leads,35.00888128,,-85.15399407,POINT (-85.153994073225 35.008881284216),4
3600 Hixson PIKE,Chattanooga,TN,37415,1/8/2016 19:25,TN0330100,A3,Adam N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-002978,3,Pending/Possible Leads,35.10702718,,-85.27173159,POINT (-85.271731590934 35.107027175967),2
4600 REDLANDS DR,Chattanooga,TN,37416-,1/8/2016 20:01,TN0330100,C5,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,16-002713,3,Pending/Possible Leads,35.07743276,,-85.19857003,POINT (-85.198570034033 35.077432762016),5
100 CHEROKEE BLVD,Chattanooga,TN,37415-,1/8/2016 23:00,TN0330100,A5,Adam N,23D,Theft From Buildings,Part 1 Crimes,16-002777,3,Pending/Possible Leads,35.06344735,,-85.31035875,POINT (-85.310358745392 35.063447352301),1
7300 E BRAINERD RD.,Chattanooga,TN,37421-,1/8/2016 23:30,TN0330100,C8,Charlie N,120,Robbery,Part 1 Crimes,16-002771,2,Cleared by Arrest,35.01556906,,-85.16505593,POINT (-85.165055928018 35.015569061188),6
3000 CURTIS ST.,Chattanooga,TN,37406-,1/9/2016 0:10,TN0330100,B2,Baker N,23F,Theft From Motor Vehicle,Part 1 Crimes,16-002780,3,Pending/Possible Leads,35.07326418,,-85.25109432,POINT (-85.251094318012 35.073264178974),8
1900 GUNBARREL ROAD,Chattanooga,TN,37421-,1/9/2016 6:28,TN0330100,C7,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,16-002856,3,Pending/Possible Leads,35.02855164,,-85.15674362,POINT (-85.156743615875 35.02855164079),4
1800 GUNBARREL RD.,Chattanooga,TN,37421-,1/9/2016 8:50,TN0330100,C8,Charlie N,23C,Shoplifting,Part 1 Crimes,16-002994,3,Pending/Possible Leads,35.02494902,,-85.15950924,POINT (-85.1595092414 35.024949021048),4
8200 ADRIANA LN.,Chattanooga,TN,37421-,1/9/2016 9:45,TN0330100,C9,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-002874,2,Cleared by Arrest,35.07088595,,-85.10085672,POINT (-85.100856718245 35.070885951689),4
400 GREENWAY VIEW DR.,Chattanooga,TN,37411-,1/9/2016 12:30,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,16-002915,3,Pending/Possible Leads,35.00722607,,-85.20705978,POINT (-85.207059782877 35.007226072542),6
2100 GUNBARREL RD.,Chattanooga,TN,37421-,1/9/2016 14:00,TN0330100,C9,Charlie N,23C,Shoplifting,Part 1 Crimes,16-002939,3,Pending/Possible Leads,35.03524524,,-85.15356061,POINT (-85.153560607906 35.035245237803),4
2200 GUNBARREL RD.,Chattanooga,TN,37421-,1/9/2016 15:00,TN0330100,C7,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,16-002961,3,Pending/Possible Leads,35.0400049,,-85.15115573,POINT (-85.151155734909 35.04000489887401),4
5300 Hwy 153.,Chattanooga,TN,37343-,1/9/2016 17:00,TN0330100,A1,Adam N,23C,Shoplifting,Part 1 Crimes,16-003015,2,Cleared by Arrest,35.1344973,,-85.24731111,POINT (-85.247311111005 35.134497302194),2
3500 CUMMINGS HWY.,Chattanooga,TN,37419-,1/9/2016 17:43,TN0330100,A13,Adam S,23C,Shoplifting,Part 1 Crimes,16-003013,2,Cleared by Arrest,35.01756589,,-85.37635178,POINT (-85.376351781113 35.017565889391),1
4600 SABLE DR,Chattanooga,TN,37416-,1/10/2016 5:00,TN0330100,C5,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-004164,3,Pending/Possible Leads,35.08756341,,-85.19574612,POINT (-85.195746117885 35.087563413819),3
300 N HOWELL AVE.,Chattanooga,TN,37411-,1/10/2016 11:30,TN0330100,C3,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,16-003268,3,Pending/Possible Leads,35.01635255,,-85.22271958,POINT (-85.222719581479 35.016352549233),5
2700 Broad ST,Chattanooga,TN,37402,1/10/2016 12:20,TN0330100,A10,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,16-003254,3,Pending/Possible Leads,35.02531435,,-85.31866517,POINT (-85.318665174403 35.025314346136),7
300 GREENWAY VIEW DR.,Chattanooga,TN,37411-,1/10/2016 12:40,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,16-003258,3,Pending/Possible Leads,35.01154317,,-85.20875181,POINT (-85.20875180899 35.011543168606),6
500 Signal Mountain Rd,Chattanooga,TN,37405-,1/10/2016 13:19,TN0330100,A5,Adam N,23C,Shoplifting,Part 1 Crimes,16-003269,3,Pending/Possible Leads,35.09320076,,-85.33112244,POINT (-85.33112243936 35.093200758774),1
300 Manufacturers RD,Chattanooga,TN,37405,1/10/2016 14:30,TN0330100,A5,Adam N,23C,Shoplifting,Part 1 Crimes,16-003283,2,Cleared by Arrest,35.06294243,,-85.31418637,POINT (-85.314186369499 35.062942425757),1
2100 HAMILTON PLACE BLVD,Chattanooga,TN,37421-,1/10/2016 15:02,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,16-003300,2,Cleared by Arrest,35.03547702,,-85.16260757,POINT (-85.162607565948 35.035477018708),4
300 MANUFACTURERS RD.,Chattanooga,TN,37405-,1/10/2016 15:45,TN0330100,A5,Adam N,23C,Shoplifting,Part 1 Crimes,16-003307,2,Cleared by Arrest,35.06343243,,-85.31415437,POINT (-85.314154369499 35.063432425757),1
400 BROAD ST,Chattanooga,TN,37402-,1/10/2016 16:20,TN0330100,A7,Adam S,23C,Shoplifting,Part 1 Crimes,16-003315,3,Pending/Possible Leads,35.05304107,,-85.30997945,POINT (-85.309979446643 35.05304106798),7
500 HILLCREST AVE,Chattanooga,TN,37411-,1/10/2016 16:20,TN0330100,C2,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,16-003104,3,Pending/Possible Leads,35.02658889,,-85.23819287,POINT (-85.23819286733 35.026588892757),5
5000 ST ELMO AVE,Chattanooga,TN,37410-,1/10/2016 17:05,TN0330100,A12,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-003320,2,Cleared by Arrest,34.99315176,,-85.33094834,POINT (-85.330948339229 34.993151762087),7
400 GREENWAY VIEW DR,Chattanooga,TN,37411-,1/10/2016 19:26,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,16-003343,2,Cleared by Arrest,35.00764307,,-85.20718578,POINT (-85.207185782877 35.007643072542),6
2300 SHALLOWFORD VILLAGE,Chattanooga,TN,37416-,1/10/2016 20:05,TN0330100,C9,Charlie N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-003353,3,Pending/Possible Leads,35.04439487,,-85.15712675,POINT (-85.15712675445 35.04439486961),6
3500 CUMMINGS HWY.,Chattanooga,TN,37419-,1/10/2016 20:31,TN0330100,A13,Adam S,23C,Shoplifting,Part 1 Crimes,16-003361,2,Cleared by Arrest,35.01900489,,-85.37689378,POINT (-85.376893781113 35.019004889391),1
5300 HIXSON PK,Chattanooga,TN,37343-,1/11/2016 1:00,TN0330100,A1,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,16-003825,3,Pending/Possible Leads,35.14062174,,-85.23184544,POINT (-85.231845442558 35.140621735239),3
500 CARRIAGE PARC DR,CHATTANOOGA,TN,37421,1/11/2016 5:15,TN0330100,C8,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-003438,3,Pending/Possible Leads,35.01174491,,-85.16445539,POINT (-85.164455387224 35.011744911212),4
4700 Highway 58,Chattanooga,TN,37416,1/11/2016 8:00,TN0330100,C5,Charlie N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-003807,3,Pending/Possible Leads,35.08856371,,-85.18913271,POINT (-85.189132711408 35.08856370848),3
4700 Highway 58,Chattanooga,TN,37416,1/11/2016 8:00,TN0330100,C5,Charlie N,250,Forgery/Counterfeiting,Part 1 Crimes,16-003807,3,Pending/Possible Leads,35.08856371,,-85.18913271,POINT (-85.189132711408 35.08856370848),3
3500 Cummings Hwy,Chattanooga,TN,37419-,1/11/2016 9:00,TN0330100,A13,Adam S,23C,Shoplifting,Part 1 Crimes,16-003481,2,Cleared by Arrest,35.01854689,,-85.37698978,POINT (-85.376989781113 35.018546889391),1
2000 S LYERLY ST.,Chattanooga,TN,37404-,1/11/2016 9:30,TN0330100,B6,Baker S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,16-003948,3,Pending/Possible Leads,35.01983179,,-85.27507959,POINT (-85.275079585408 35.019831790461),9
2000 S LYERLY ST,CHATTANOOGA,TN,37404,1/11/2016 9:30,TN0330100,B6,Baker S,23D,Theft From Buildings,Part 1 Crimes,16-003948A,3,Pending/Possible Leads,35.01841879,,-85.27589459,POINT (-85.275894585408 35.018418790461),9
3200 15TH AVE,Chattanooga,TN,37407-,1/11/2016 12:00,TN0330100,A8,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,16-021845,3,Pending/Possible Leads,35.00131154,,-85.27539336,POINT (-85.275393360137 35.001311537183),7
1900 Gunbarrel RD,Chattanooga,TN,37421,1/11/2016 12:00,TN0330100,C7,Charlie N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-004659,3,Pending/Possible Leads,35.02796512,,-85.15650386,POINT (-85.156503862248 35.027965121268),4
1800 CLEARVIEW DR,Chattanooga,TN,37421-,1/11/2016 12:00,TN0330100,C8,Charlie N,23D,Theft From Buildings,Part 1 Crimes,16-004376,3,Pending/Possible Leads,35.02157008,,-85.15344899,POINT (-85.15344899017701 35.021570080034),4
4600 SABLE DR.,Chattanooga,TN,37416-,1/11/2016 15:23,TN0330100,C5,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,16-003583,3,Pending/Possible Leads,35.08801541,,-85.19484812,POINT (-85.194848117885 35.088015413819),3
3100 BROAD ST,Chattanooga,TN,37408-,1/11/2016 15:53,TN0330100,A11,Adam S,23C,Shoplifting,Part 1 Crimes,16-003595,2,Cleared by Arrest,35.02020957,,-85.32022846,POINT (-85.320228462953 35.020209566905),7
2100 GUNBARREL RD.,Chattanooga,TN,37421-,1/11/2016 17:03,TN0330100,C7,Charlie N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-004177,3,Pending/Possible Leads,35.03742302,,-85.15147048,POINT (-85.151470479653 35.03742302294),4
3800 LIGHTFOOT MILL RD.,Chattanooga,TN,37416-,1/11/2016 18:00,TN0330100,C5,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,16-003736,3,Pending/Possible Leads,35.07101099,,-85.20667502,POINT (-85.206675024237 35.071010989178),5
2800 13TH AVE,Chattanooga,TN,37407-,1/11/2016 22:00,TN0330100,B8,Baker S,120,Robbery,Part 1 Crimes,16-003716,3,Pending/Possible Leads,35.00751595,,-85.27406125,POINT (-85.274061250021 35.007515948226),7
4000 SHALLOWFORD RD,Chattanooga,TN,37411-,1/12/2016 0:35,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,16-003743,3,Pending/Possible Leads,35.04190269,,-85.22113322,POINT (-85.221133221939 35.041902692167),5
3100 MOUNTAIN CREEK RD,CHATTANIOOGA,TN,37415,1/12/2016 3:00,TN0330100,A5,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,16-003865,3,Pending/Possible Leads,35.12034191,,-85.31540549,POINT (-85.31540549091301 35.12034191246901),1
3700 Tennessee AVE,Chattanooga,TN,37410-,1/12/2016 4:00,TN0330100,A12,Adam S,23C,Shoplifting,Part 1 Crimes,16-003775,3,Pending/Possible Leads,35.01132335,,-85.32638188,POINT (-85.326381879029 35.011323351512),7
4300 Dorris ST,Chattanooga,TN,37410-,1/12/2016 7:00,TN0330100,A12,Adam S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,16-004050,3,Pending/Possible Leads,35.00070215,,-85.31169363,POINT (-85.311693630014 35.000702154838),7
7400 COMMONS BLVD.,Chattanooga,TN,37421-,1/12/2016 11:50,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,16-003856,2,Cleared by Arrest,35.03526058,,-85.14853552,POINT (-85.148535520298 35.035260575467),4
2100 VANCE AVE,Chattanooga,TN,37404-,1/12/2016 14:07,TN0330100,B5,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-003903,3,Pending/Possible Leads,35.02998111,,-85.27415263,POINT (-85.27415262994 35.02998111444),9
200 Northgate Mall DR,Chattanooga,TN,37415,1/12/2016 18:40,TN0330100,A2,Adam N,120,Robbery,Part 1 Crimes,16-003976,2,Cleared by Arrest,35.13164303,,-85.23713933,POINT (-85.237139325173 35.131643032413),3
00 Shallowford Rd.,Chattanooga,TN,37411,1/12/2016 20:00,TN0330100,C4,Charlie S,23F,Theft From Motor Vehicle,Part 1 Crimes,16-004052,3,Pending/Possible Leads,35.0324526,,-85.25736317,POINT (-85.257363167141 35.032452600336),9
200 NORTHGATE MALL DR.,Hixson,TN,37343-,1/12/2016 20:55,TN0330100,A2,Adam N,23C,Shoplifting,Part 1 Crimes,16-004010,2,Cleared by Arrest,35.13186969,,-85.23774076,POINT (-85.23774076401 35.13186968609),3
2100 Bailey Ave.,Chattanooga,TN,37404-,1/12/2016 23:30,TN0330100,B5,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,16-004060,3,Pending/Possible Leads,35.03136516,,-85.27234497,POINT (-85.272344967381 35.031365161543),9
4200 10TH AVE,Chattanooga,TN,37367-,1/12/2016 23:30,TN0330100,B9,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-003735,3,Pending/Possible Leads,34.99382096,,-85.28635509,POINT (-85.28635509167 34.993820956797),7
4500 Delashmitt Road,Chattanooga,TN,37415-,1/13/2016 2:20,TN0330100,A3,Adam N,120,Robbery,Part 1 Crimes,16-004865,3,Pending/Possible Leads,35.1262279,,-85.26356014,POINT (-85.263560140128 35.126227896579),2
4500 Delashmitt Road,Chattanooga,TN,37415-,1/13/2016 2:20,TN0330100,A3,Adam N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,16-004865,3,Pending/Possible Leads,35.1262279,,-85.26356014,POINT (-85.263560140128 35.126227896579),2
3400 WILCOX BLVD.,CHATTANOOGA,TN,37411--,1/13/2016 4:21,TN0330100,C1,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,16-004080,3,Pending/Possible Leads,35.04696775,,-85.23761692,POINT (-85.237616922267 35.04696774651),9
3800 CHANDLER AVE,Chattanooga,TN,37410-,1/13/2016 6:30,TN0330100,A12,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,16-004317,3,Pending/Possible Leads,35.00759981,,-85.31450838,POINT (-85.314508384604 35.007599805101),7
2600 E 14TH ST,Chattanooga,TN,37404-,1/13/2016 7:45,TN0330100,B5,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,16-004137,3,Pending/Possible Leads,35.02292048,,-85.26751557,POINT (-85.267515566529 35.022920476589),9
400 GREENWAY VIEW DR,Chattanooga,TN,37411-,1/13/2016 15:00,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,16-004245,2,Cleared by Arrest,35.00809407,,-85.20651678,POINT (-85.206516782877 35.008094072542),6
1300 DUNCAN AVE,Chattanooga,TN,37404-,1/13/2016 15:00,TN0330100,B5,Baker S,23D,Theft From Buildings,Part 1 Crimes,16-004323,3,Pending/Possible Leads,35.03826719,,-85.28387466,POINT (-85.283874658293 35.038267185593),8
2100 HAMILTON PLACE BLVD,Chattanooga,TN,37421-,1/13/2016 15:55,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,16-004278,2,Cleared by Arrest,35.03537602,,-85.16118557,POINT (-85.161185565948 35.035376018708),4
4000 12th Ave,Chattanooga,TN,37407-,1/13/2016 16:06,TN0330100,B9,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-004330,2,Cleared by Arrest,34.99663929,,-85.28206526,POINT (-85.282065255333 34.996639285022),7
7100 LEE HWY,Chattanooga,TN,37421-,1/13/2016 16:58,TN0330100,C9,Charlie N,270,Embezzlement,Part 1 Crimes,16-004297,3,Pending/Possible Leads,35.04787159,,-85.15723003,POINT (-85.157230028797 35.047871593086),6
200 Broad St.,Chattanooga,TN,37402-,1/13/2016 18:00,TN0330100,A7,Adam S,23C,Shoplifting,Part 1 Crimes,16-004331,2,Cleared by Arrest,35.05395527,,-85.31105764,POINT (-85.311057644821 35.05395527032),7
300 Chestnut ST,Chattanooga,TN,37402,1/13/2016 19:00,TN0330100,7 East,,23F,Theft From Motor Vehicle,Part 1 Crimes,16-004528,3,Pending/Possible Leads,35.05319178,,-85.31163772,POINT (-85.311637718058 35.053191776466),7
200 NORTHGATE MALL DR,Chattanooga,TN,37343-,1/13/2016 19:00,TN0330100,A2,Adam N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-004741,3,Pending/Possible Leads,35.13172903,,-85.23792833,POINT (-85.237928325173 35.131729032413),3
7600 AUSTIN DR,Chattanooga,TN,37416-,1/13/2016 20:55,TN0330100,C6,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,16-004378,3,Pending/Possible Leads,35.07204615,,-85.16990424,POINT (-85.169904238278 35.072046149125),6
2100 Hamilton Place BLVD,Chattanooga,TN,37421,1/13/2016 22:00,TN0330100,C7,Charlie N,23D,Theft From Buildings,Part 1 Crimes,16-004532,3,Pending/Possible Leads,35.03608302,,-85.16130257,POINT (-85.161302565948 35.036083018708),4
5100 HIGHWAY 153,CHATTANOOGA,TN,37343-,1/14/2016 0:00,TN0330100,A1,Adam N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-004408,2,Cleared by Arrest,35.12270194,,-85.23847691,POINT (-85.238476907696 35.122701944115),3
400 TUNNEL BLVD,Chattanooga,TN,37411-,1/14/2016 0:16,TN0330100,C2,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-004412,3,Pending/Possible Leads,35.0329152,,-85.24570955,POINT (-85.245709545971 35.032915204322),
6800 Longview Rd.,Chattanooga,TN,37421-,1/14/2016 0:30,TN0330100,C6,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-004509,3,Pending/Possible Leads,35.04036192,,-85.16919865,POINT (-85.169198646272 35.040361924309),6
6800 Longview Rd.,Chattanooga,TN,37421-,1/14/2016 1:00,TN0330100,C6,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,16-004480,3,Pending/Possible Leads,35.03987155,,-85.16939148,POINT (-85.169391479421 35.03987155184401),6
6800 Longview Rd.,Chattanooga,TN,37421-,1/14/2016 1:00,TN0330100,C6,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,16-004480,3,Pending/Possible Leads,35.03987155,,-85.16939148,POINT (-85.169391479421 35.03987155184401),6
4100 S CREEK RD.,Chattanooga,TN,37406-,1/14/2016 9:00,TN0330100,B2,Baker N,250,Forgery/Counterfeiting,Part 1 Crimes,16-004825,3,Pending/Possible Leads,35.09232783,,-85.2441477,POINT (-85.244147701939 35.092327831535),8
8700 E BRAINERD RD,CHATTANOOGA,TN,37421-,1/14/2016 18:29,TN0330100,C8,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,16-004712,3,Pending/Possible Leads,35.00019889,,-85.13338659,POINT (-85.133386587453 35.000198893298),4
4600 English AVE,Chattanooga,TN,37407,1/14/2016 22:30,TN0330100,B9,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-004876,3,Pending/Possible Leads,34.98952458,,-85.29171197,POINT (-85.291711970257 34.98952457727201),7
3200 BEECH ST,Chattanooga,TN,37409-,1/15/2016 8:00,TN0330100,A13,Adam S,23D,Theft From Buildings,Part 1 Crimes,16-028608,3,Pending/Possible Leads,35.01769266,,-85.37219609,POINT (-85.372196092009 35.017692663161),1
2000 E.23rd Street,CHATTANOOGA,TN,37407-,1/15/2016 8:00,TN0330100,B6,Baker S,23C,Shoplifting,Part 1 Crimes,16-004947,3,Pending/Possible Leads,35.01900399,,-85.28282636,POINT (-85.282826364942 35.019003993145),8
2500 LAURA ST,chattanooga,TN,37406,1/15/2016 12:00,TN0330100,B3,Baker N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,16-020121,3,Pending/Possible Leads,35.04843891,,-85.25777298,POINT (-85.257772976395 35.04843891012),9
2000 Gunbarrel RD,Chattanooga,TN,37421,1/15/2016 12:00,TN0330100,C8,Charlie N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,16-005950,3,Pending/Possible Leads,35.03092043,,-85.15539605,POINT (-85.155396049335 35.030920425364),4
5500 SEAGROVE LN,Chattanooga,TN,37343-,1/15/2016 12:24,TN0330100,A2,Adam N,HAR,Harassment All Others,Other Incidents,16-004890,3,Pending/Possible Leads,35.14120441,,-85.20677506,POINT (-85.206775057031 35.141204405631),3
3500 Cummings Hwy,Chattanooga,TN,37419-,1/15/2016 15:00,TN0330100,A13,Adam S,23C,Shoplifting,Part 1 Crimes,16-005014,3,Pending/Possible Leads,35.01845289,,-85.37729378,POINT (-85.377293781113 35.018452889391),1
2100 Hamilton Place BLVD,Chattanooga,TN,37421,1/15/2016 15:15,TN0330100,C8,Charlie N,23C,Shoplifting,Part 1 Crimes,16-004950,2,Cleared by Arrest,35.03598402,,-85.16214257,POINT (-85.162142565948 35.035984018708),4
